Keys,en,en_CA,ar,cmn,cs,de,es,fi,fr,hi,it,ja,ko,pl,pt,ru,uk
SHIP,Ship,Ship eh?,سفينة,船,Loď,Schiff,Barco,Alus,Bateau,जहाज,Nave,船,배,Statek,Enviar,Корабль,Корабель
SHOWTRADE,Show Trader,Show Trader eh?,عرض تاجر,展示商人,Zobrazit obchodníka,Händlern Show,Comerciante de espectáculos,Näytä kauppias,Exposition,ट्रेडर दिखाएं,Show Trader,トレーダーを表示します,상인을 보여주십시오,Show Trader,Show Trader,Показать трейдер,Показати торговець
SILLY,Silly,Silly eh?,سخيف,愚蠢的,Hloupý,Dumm,Tonto,Typerä,Idiot,नासमझ,Sciocco,馬鹿な,바보 같은,Głupi,Bobagem,Глупый,Дурний
SOUNDS,Sounds,Sounds eh?,اصوات,听起来,Zvuky,Geräusche,Sonidos,Äänet,Des sons,ध्वनि,Suoni,音,소리,Dźwięki,Sons,Звуки,Звуки
SOURCEREPO,Github Repo,Github Repo eh?,جيثب ريبو,Github仓库,GitHub Repo,Github Repo,Repositorio de Github,Github -repo,GitHub Repo,गीथब रेपो,Github Repo,Github Repo,Github Repo,Github Repo,Repo Github,GitHub Repo,Github repo
SPACE,Space,Space eh?,فضاء,空间,Prostor,Raum,Espacio,Tilaa,Espace,अंतरिक्ष,Spazio,空間,공간,Przestrzeń,Espaço,Космос,Простір
SPACEAVAILABLE,Space available,Space available eh?,مساحة متاحة,可用空间,Dostupný prostor,Platz verfügbar,Espacio disponible,Vapaata tilaa,Espace disponible,स्थान उपलब्ध,Spazio disponibile,利用可能なスペース,사용 가능한 공간,Przestrzeń dostępna,Espaço disponível,Доступное пространство,Доступний простір
SPACEDOCK,Space Dock,Space Dock eh?,رصيف الفضاء,太空码头,Space Dock,Raumdock,Muelle,Avaruustelakka,Quai d'espace,अंतरिक्ष गोदी,Dock spaziale,宇宙ドック,우주 도크,Dock kosmiczny,Dock Space,Космический док,Космічний причал
SPAREPARTS,Spare parts,Spare parts eh?,قطعة منفصلة,备件,Náhradní díly,Ersatzteile,Piezas de repuesto,Varaosat,Des pièces de rechange,स्पेयर पार्ट्स,Pezzi di ricambio,スペアパーツ,예비 부품,Części zamienne,Peças de reposição,Запчасти,Запчастини
START,Start game,Start game eh?,بدء اللعبة,开始游戏,Začít hru,Spiel beginnen,Empezar juego,Aloita peli,Démarrer jeu,खेल शुरू,Inizia il gioco,ゲームをスタート,게임을 시작하다,Rozpocząć grę,Começar o jogo,Начать игру,Почни гру
STOPTTS,Stop TTS Playback,Stop TTS Playback eh?,توقف عن تشغيل TTS,停止TTS播放,Zastavte přehrávání TTS,Stoppen Sie die TTS -Wiedergabe,Detener la reproducción de TTS,Pysäytä TTS -toisto,Arrêtez la lecture TTS,टीटीएस प्लेबैक को रोकें,Ferma la riproduzione di TTS,TTSの再生を停止します,TTS 재생을 중지하십시오,Zatrzymaj odtwarzanie TTS,Pare a reprodução do TTS,Остановите воспроизведение TTS,Зупиніть TTS відтворення
SUBTITLE,"Ludum Dare 54, Limited Space","Ludum Dare 54, Limited Space eh?",Ludum Dare 54 ، مساحة محدودة,Ludum Dare 54，有限的空间,"Ludum Dare 54, omezený prostor","Ludum Dare 54, begrenzter Raum","Ludum Dare 54, espacio limitado","Ludum Dare 54, rajoitettu tila","Ludum Dare 54, espace limité","लुडम डेयर 54, सीमित स्थान","Ludum Dare 54, Spazio limitato",Ludum Dare 54、限られたスペース,"Ludum Dare 54, 제한된 공간","Ludum Dare 54, ograniczona przestrzeń","Ludum Dare 54, espaço limitado","Ludum Dare 54, ограниченное пространство","Ludum Dare 54, обмежений простір"
THANKS,Thank you,Thank you eh?,شكرًا لك,谢谢,Děkuji,Danke,Gracias,Kiitos,Merci,धन्यवाद,Grazie,ありがとう,감사합니다,Dziękuję,Obrigado,Спасибо,Дякую
THANKSHUNGUP,Thank.... they disconnected,Thank.... they disconnected eh?,شكرا .... لقد تم قطع الاتصال,谢谢....他们断开了连接,Děkuji .... odpojili,Danke ... sie trennten sich,Gracias ... se desconectaron,Kiitos .... he katkaistiin,Merci ... ils ont déconnecté,धन्यवाद .... वे डिस्कनेक्ट हो गए,Grazie ... hanno disconnesso,ありがとう....彼らは切断しました,감사합니다 .... 그들은 연결이 끊어졌습니다,Dziękuję .... odłączyli się,Obrigado .... eles desconectaram,Спасибо .... они отключены,Дякую .... вони відключили
THANKYOUDIALOG01,Thank you for playing my Ludum Dare entry,Thank you for playing my Ludum Dare entry eh?,شكرا لك على لعب دخول لودوم الخاص بي,谢谢你玩我的ludum敢于,Děkuji za hraní mého vstupu Ludum Dare,"Vielen Dank, dass Sie meinen Ludum Dare -Eintrag gespielt haben",Gracias por jugar mi entrada de Ludum Dare,"Kiitos, että pelasit ludum -uskaltavan merkinnän",Merci d'avoir joué mon entrée Ludum Dare,मेरी लुडम डेयर प्रविष्टि खेलने के लिए धन्यवाद,Grazie per aver suonato il mio ingresso di ludum,私のLudum Dareエントリをプレイしてくれてありがとう,내 Ludum Dare 항목을 연주해 주셔서 감사합니다,Dziękuję za zagranie w moim wpisie Ludum Dare,Obrigado por jogar minha entrada de Ludum Dare,"Спасибо, что сыграли мою запись Ludum Dare","Дякую за те, що ви грали в мій запис Ludum Dare"
THANKYOUDIALOG02,Have a nice day,Have a nice day eh?,طاب يومك,祝你今天过得愉快,Hezký den,Einen schönen Tag noch,Que tenga un lindo día,Hauskaa päivän jatkoa,Passe une bonne journée,आपका दिन शुभ हो,Buona giornata,良い１日を,좋은 하루 되세요,Miłego dnia,Tenha um bom dia,Хорошего дня,Гарного дня
TITLE,Oregon Startrail,Oregon Startrail eh?,أوريغون ستارترايل,俄勒冈Startrail,Oregon Startrail,Oregon Startrail,Oregon Startrail,Oregon StarTrail,Oregon Startrail,ओरेगॉन स्टारट्रिल,Oregon Startrail,オレゴンスターレール,오레곤 스타 트레일,Oregon Startrail,Oregon Startrail,Oregon Startrail,Орегон Startrail
TOOLTIP_RESOURCE_AIR,"78% Nitrogen, 21% Oxygen, 1% Other.  Good old Earth atmosphere.","78% Nitrogen, 21% Oxygen, 1% Other.  Good old Earth atmosphere. eh?",78 ٪ النيتروجين ، 21 ٪ الأكسجين ، 1 ٪ أخرى. جو الأرض القديم الجيد.,78％的氮，21％氧，其他1％。好老地球大气。,"78% dusíku, 21% kyslík, 1% jiných. Dobrá stará atmosféra Země.","78% Stickstoff, 21% Sauerstoff, 1% andere. Gute alte Erdatmosphäre.","78% de nitrógeno, 21% de oxígeno, 1% otro. El buen ambiente de la tierra vieja.","78% typpi, 21% happea, 1% muuta. Vanha hyvä maapallon ilmapiiri.","78% d'azote, 21% d'oxygène, 1% d'autres. Bonne vieille atmosphère terrestre.","78% नाइट्रोजन, 21% ऑक्सीजन, 1% अन्य। अच्छा पुराना पृथ्वी वातावरण।","78% azoto, 21% di ossigeno, 1% altro. Buona vecchia atmosfera di terra.",78％窒素、21％酸素、その他1％。古き良き地球の雰囲気。,"78% 질소, 21% 산소, 1%. 좋은 오래된 지구 대기.","78% azotu, 21% tlenu, 1% innych. Dobra, dobra atmosfera Ziemi.","78% de nitrogênio, 21% de oxigênio, 1% outro. Boa e velha atmosfera de terra.","78% азота, 21% кислорода, 1% других. Старая старая земля атмосфера.","78% азот, 21% кисень, 1% інших. Стара добра атмосфера Землі."
TOOLTIP_RESOURCE_BOT,"Worker bots that perform necessary ship functions: maintaining cryopods, cleaning waste, running the ship.","Worker bots that perform necessary ship functions: maintaining cryopods, cleaning waste, running the ship. eh?",روبوتات العمال التي تؤدي وظائف السفينة الضرورية: الحفاظ على cryopods ، تنظيف النفايات ، تشغيل السفينة.,执行必要的船舶功能的工具机器人：维护冷冻脚架，清洁废物，运行船。,"Pracovní roboti, kteří provádějí nezbytné funkce lodi: udržování kryopodů, čištění odpadu, provozování lodi.","Arbeiter -Bots, die die notwendigen Schiffsfunktionen ausführen: Wartung von Kryopoden, Reinigen von Abfällen, Laufen des Schiffes.","Bots de trabajadores que realizan las funciones de barco necesarias: mantener criopodos, limpieza de desechos, ejecutando el barco.","Työntekijöiden robotit, jotka suorittavat tarvittavat laivan toiminnot: kryopodien ylläpitäminen, jätteiden puhdistus, laivan ajaminen.","Les bots de travailleurs qui remplissent les fonctions du navire nécessaire: maintenir des cryopodes, nettoyer les déchets, faire fonctionner le navire.","वर्कर बॉट्स जो आवश्यक जहाज कार्य करते हैं: क्रायोपोड्स को बनाए रखना, कचरे की सफाई करना, जहाज चलाना।","Robot lavoratore che svolgono le funzioni della nave necessarie: mantenimento di criopodi, pulire i rifiuti, gestire la nave.",必要な船舶機能を実行する労働者のボット：極低温の維持、廃棄物の清掃、船の走行。,"필요한 선 기능을 수행하는 작업자 봇 : 냉동고 유지, 폐기물 청소, 선박 달리기.","Boty robotnicze, które wykonują niezbędne funkcje statku: utrzymanie kriopodów, czyszczenie odpadów, prowadzenie statku.","Bots trabalhadores que desempenham as funções de navio necessárias: mantendo os criopodes, limpando resíduos, administrando o navio.","Рабочие боты, которые выполняют необходимые функции корабля: поддержание криопод, очистка отходов, управление кораблем.","Робочі боти, які виконують необхідні функції кораблів: підтримка кріподів, очищення відходів, керують кораблем."
TOOLTIP_RESOURCE_CRYOPOD,The biodiversity necessary to create a sustaining population that won't die out of inbreeding.... again... hopefully...,The biodiversity necessary to create a sustaining population that won't die out of inbreeding.... again... hopefully... eh?,التنوع البيولوجي اللازم لإنشاء مجموعة من السكان الذين لن يموتوا من زواج الأقارب .... مرة أخرى ... نأمل ...,创造一个不会因近亲而死的维持人群所必需的生物多样性。...再次...希望...,"Biodiverzita nezbytná k vytvoření trvalé populace, která z inbreedingu nezemře ... znovu ... doufejme ...","Die biologische Vielfalt, die notwendig ist, um eine nachhaltige Bevölkerung zu schaffen, die nicht aus Inzucht stirbt ... wieder ... hoffentlich ...",La biodiversidad necesaria para crear una población sostenida que no morirá por endogamia ... otra vez ... con suerte ...,"Biologinen monimuotoisuus, joka tarvitaan kestävän väestön luomiseksi, joka ei kuole sisäsiitoksesta .... jälleen ... toivottavasti ...",La biodiversité nécessaire pour créer une population soutenue qui ne mourra pas de consanguinité .... encore ... j'espère ...,एक निरंतर आबादी बनाने के लिए आवश्यक जैव विविधता जो इनब्रीडिंग से बाहर नहीं होगी .... फिर से ... उम्मीद है ...,La biodiversità necessaria per creare una popolazione a sostegno che non morirà di consumo ... di nuovo ... si spera ...,生物多様性は、近親交配で死なない持続的な集団を作成するために必要な生物多様性....再び...うまくいけば...,근친 교배에서 죽지 않는 지속적인 인구를 창출하는 데 필요한 생물 다양성 .... 다시 ... 희망적으로 ...,"Różnorodność biologiczna niezbędna do stworzenia podtrzymującej populacji, która nie umarłaby z chęciowa ... znowu ... mam nadzieję ...",A biodiversidade necessária para criar uma população sustentadora que não morra de consanguinidade ... novamente ... espero ...,"Биоразнообразие, необходимое для создания устойчивого населения, которое не умрет от инбридинга ... снова ... надеюсь ...","Біорізноманіття, необхідне для створення стійкого населення, яке не вимине з інбридингу .... знову ... сподіваємось ..."
TOOLTIP_RESOURCE_ENERGY,Fundamental force of nature we've tricked into doing our work.,Fundamental force of nature we've tricked into doing our work. eh?,القوة الأساسية للطبيعة التي خدعناها القيام بعملنا.,自然的基本力量，我们已经欺骗了我们的工作。,"Základní síla přírody, kterou jsme podváděli, abychom vykonávali naši práci.","Grundlegende Naturkraft, die wir dazu gebracht haben, unsere Arbeit zu erledigen.",Fuerza fundamental de la naturaleza que hemos engañado para hacer nuestro trabajo.,"Luonnon perusvoima, jonka olemme huijalleet tekemään työtämme.",Force fondamentale de la nature que nous avons incité à faire notre travail.,प्रकृति की मौलिक बल हमने अपना काम करने में छल किया है।,Forza fondamentale della natura che abbiamo indotto a fare il nostro lavoro.,私たちが仕事をすることをだました自然の基本的な力。,자연의 근본적인 힘 우리는 우리의 일을하는 것을 속였습니다.,"Podstawowa siła natury, którą oszukaliśmy, wykonując naszą pracę.",Força fundamental da natureza que enganamos para fazer nosso trabalho.,"Фундаментальная сила природы, которую мы обманули, выполняя нашу работу.","Фундаментальна сила природи, яку ми обманювали, виконуючи свою роботу."
TOOLTIP_RESOURCE_FISH,Edible aquatic animals that help process waste and help plants grow.,Edible aquatic animals that help process waste and help plants grow. eh?,الحيوانات المائية الصالحة للأكل التي تساعد على معالجة النفايات وتساعد النباتات على النمو.,可食用的水生动物，有助于处理废物并帮助植物生长。,"Je jedlé vodní zvířata, která pomáhají zpracovávat plýtvání a pomáhají růst rostlin.","Essbare Wassertiere, die dazu beitragen, Verschwendung zu verarbeiten und Pflanzen zu wachsen.",Animales acuáticos comestibles que ayudan a procesar los desechos y ayudan a las plantas a crecer.,"Syötävät vesieläimet, jotka auttavat käsittelemään jätteitä ja auttavat kasveja kasvamaan.",Les animaux aquatiques comestibles qui aident à traiter les déchets et aident les plantes à se développer.,खाद्य जलीय जानवर जो कचरे को प्रक्रिया में मदद करते हैं और पौधों को बढ़ने में मदद करते हैं।,Animali acquatici commestibili che aiutano a elaborare i rifiuti e aiutano le piante a crescere.,廃棄物の処理と植物の成長を支援する食用水生動物。,폐기물을 처리하고 식물이 성장하는 데 도움이되는 식용 수생 동물.,"Jadalne zwierzęta wodne, które pomagają przetwarzać marnotrawstwo i pomagają rośnie rosnąć.",Animais aquáticos comestíveis que ajudam a processar o desperdício e ajudam as plantas a crescer.,"Съедобные водные животные, которые помогают обрабатывать отходы и помогают расти растения.","Їстівні водні тварини, які допомагають переробляти відходи та допомагають рослинам рости."
TOOLTIP_RESOURCE_FOOD,"Processed plant and animal matter; combined with synthetic aminos, vitamins and minerals. Everything the body needs.","Processed plant and animal matter; combined with synthetic aminos, vitamins and minerals. Everything the body needs. eh?",المصنعة المصنعة والمواد الحيوانية ؛ جنبا إلى جنب مع الأمينوس الاصطناعية ، الفيتامينات والمعادن. كل ما يحتاجه الجسم.,加工的动植物物质；与合成的Aminos，维生素和矿物质结合使用。身体需要的一切。,"Zpracovaná záležitost rostlin a zvířat; v kombinaci se syntetickými aminosmi, vitamíny a minerály. Všechno, co tělo potřebuje.","Verarbeitete Pflanzen- und Tiermaterie; kombiniert mit synthetischen Aminos, Vitaminen und Mineralien. Alles, was der Körper braucht.","Materia planta y animal procesada; Combinado con aminos sintéticos, vitaminas y minerales. Todo lo que el cuerpo necesita.","Jalostettu kasvi- ja eläinasia; yhdistettynä synteettisiin aminosiin, vitamiiniin ja mineraaleihin. Kaikki ruumiin tarvitsee.","Matière végétale et animale transformée; Combiné avec des aminos synthétiques, des vitamines et des minéraux. Tout ce dont le corps a besoin.","संसाधित पौधे और पशु पदार्थ; सिंथेटिक एमिनो, विटामिन और खनिजों के साथ संयुक्त। शरीर को सब कुछ चाहिए।","Materia vegetale e animale trasformata; combinato con amino sintetici, vitamine e minerali. Tutto ciò di cui il corpo ha bisogno.",加工された植物と動物物質;合成アミノ、ビタミン、ミネラルと組み合わされています。体が必要とするすべて。,"가공 식물 및 동물 물질; 합성 아미노, 비타민 및 미네랄과 결합합니다. 몸에 필요한 모든 것.","Przetworzona materia roślin i zwierząt; w połączeniu z syntetycznymi aminami, witaminami i minerałami. Wszystko, czego potrzebuje ciało.","Planta processada e matéria animal; Combinado com aminos sintéticos, vitaminas e minerais. Tudo o que o corpo precisa.","Обработанные растения и животных; в сочетании с синтетическими амино, витаминами и минералами. Все, что нужно телу.","Перероблені рослинні та тваринні речовини; У поєднанні з синтетичними аміносами, вітамінами та мінералами. Все, що потрібно організму."
TOOLTIP_RESOURCE_FUEL,"Dark matter. ""Each pound of it weighs over then thousand pounds."" - The Professor","Dark matter. ""Each pound of it weighs over then thousand pounds."" - The Professor eh?","المادة المظلمة. ""كل رطل منه يزن أكثر من ألف جنيه."" - الأستاذ",暗物质。 “每磅重的重量超过千英镑。” - 教授,"Temná hmota. ""Každá libra váží více než tisíce liber."" - Profesor","Dunkle Materie. ""Jedes Pfund davon wiegt übertausend Pfund."" - Der Professor","Materia oscura. ""Cada libra pesa mil libras"". - El profesor","Pimeä aine. ""Jokainen punta se painaa yli tuhannen kilon."" - Professori","Matière noire. ""Chaque livre pèse plus de mille livres."" - Le professeur","गहरे द्रव्य। ""इसका प्रत्येक पाउंड तब हजार पाउंड का वजन होता है।"" - प्राध्यापक","Materia oscura. ""Ogni chilo di esso pesa oltre migliaia di chili."" - Il professore",暗黒物質。 「それのそれぞれのポンドは、それから千ポンド以上の重さです。」 - 教授,"암흑 물질. ""각각의 파운드는 무게가 천 파운드 이상입니다."" - 교수",Ciemna materia. „Każdy funt waży niż tysiące funtów”. - Profesor,"Matéria escura. ""Cada libra dele pesa mais de mil libras."" - O professor","Темная материя. «Каждый фунт его весит, затем тысячи фунтов». - Профессор","Темна матерія. ""Кожен його кілограм важить більше тисяч кілограмів"". - Професор"
TOOLTIP_RESOURCE_HUMAN,"Carbon-based life ""running"" the show. Backup units found in cryopods. Warning: Starting a settlement with too few human will adversely affect biodiversity.","Carbon-based life ""running"" the show. Backup units found in cryopods. Warning: Starting a settlement with too few human will adversely affect biodiversity. eh?","الحياة القائمة على الكربون ""تشغيل"" العرض. وحدات النسخ الاحتياطي الموجودة في cryopods. تحذير: إن بدء تسوية مع عدد قليل جدًا من الإنسان سيؤثر سلبًا على التنوع البيولوجي.",基于碳的生活“跑步”表演。在冷冻脚架中发现的备用单元。警告：以太少的人类开始定居，会对生物多样性产生不利影响。,Život založený na uhlíku „běží“ show. Záložní jednotky nalezené v kryopodech. Varování: Zahájení vypořádání s příliš malým počtem lidí bude nepříznivě ovlivnit biologickou rozmanitost.,"Das Leben auf Kohlenstoffbasis ""läuft"" die Show. Backup -Einheiten in Kryopoden. Warnung: Eine Siedlung mit zu wenig Menschen zu beginnen, wirkt sich nachteilig auf die biologische Vielfalt aus.","La vida basada en el carbono ""ejecutando"" el programa. Unidades de respaldo que se encuentran en los criopodos. ADVERTENCIA: Comenzar un acuerdo con muy pocos humanos afectará negativamente la biodiversidad.","Hiilipohjainen elämä "", joka juoksee"" näyttelyn "". Cryopodsista löytyvät varmuuskopioyksiköt. VAROITUS: Soution aloittaminen liian harvoin ihmisen kanssa vaikuttaa haitallisesti biologiseen monimuotoisuuteen.","La vie basée sur le carbone ""dirigeait"" le spectacle. Unités de sauvegarde trouvées dans les cryopodes. AVERTISSEMENT: Démarrer une colonie avec trop peu d'humains affectera négativement la biodiversité.","कार्बन-आधारित जीवन शो को ""चला रहा है""। क्रायोपोड्स में बैकअप इकाइयाँ पाई गईं। चेतावनी: बहुत कम मानव के साथ एक समझौता शुरू करने से जैव विविधता पर प्रतिकूल प्रभाव पड़ेगा।","La vita a base di carbonio ""gestisce"" lo spettacolo. Unità di backup trovate nei criopodi. Avvertenza: l'avvio di un accordo con troppo pochi umani influenzerà negativamente la biodiversità.",ショーを「実行している」カーボンベースのライフ。 Cryopodsで見つかったバックアップユニット。警告：人間が少なすぎる和解を開始すると、生物多様性に悪影響を及ぼします。,"탄소 기반의 삶은 쇼를 ""실행""합니다. Cryopods에서 발견 된 백업 장치. 경고 : 너무 적은 인간으로 정착을 시작하면 생물 다양성에 부정적인 영향을 미칩니다.",Życie oparte na węglu „bieganie” serialu. Jednostki zapasowe znalezione w kriopodach. OSTRZEŻENIE: Rozpoczęcie ugody ze zbyt małą ludzką niekorzystnie wpłynie na różnorodność biologiczną.,"Vida à base de carbono ""executando"" o show. Unidades de backup encontradas em criopodas. Aviso: iniciar um acordo com poucos humanos afetará adversamente a biodiversidade.","Углеродная жизнь «бегает» шоу. Резервные единицы, найденные в криоподах. ПРЕДУПРЕЖДЕНИЕ: Начало урегулирования со слишком немногим человеком будет отрицательно повлиять на биоразнообразие.","Життя на основі вуглецю ""працює"" шоу. Резервні підрозділи, знайдені в кріподах. ПОПЕРЕДЖЕННЯ: Початок врегулювання з занадто мало людським буде негативно вплине на біорізноманіття."
TOOLTIP_RESOURCE_PLANT,Mostly inanimate carbon-based life that likes to show-off with graphic displays of propagation. Goes well with fish matter.,Mostly inanimate carbon-based life that likes to show-off with graphic displays of propagation. Goes well with fish matter. eh?,في الغالب الحياة غير الحية القائمة على الكربون والتي تحب الظهور مع شاشات العرض الرسومية للانتشار. يسير على ما يرام مع مسألة السمك.,主要是基于碳的无生命生活，喜欢用图形展示传播。与鱼的物质息息相关。,"Většinou neživý život na bázi uhlíku, který se rád předvádí s grafickými displeji šíření. Jde dobře s rybí hmotou.","Meistens unbelebtes Leben auf Kohlenstoffbasis, das gerne mit grafischen Ausbreitungsarten zeigt. Passt gut mit Fischmaterie.",Principalmente una vida inanimada basada en el carbono que le gusta aparecer con pantallas gráficas de propagación. Va bien con la materia de los peces.,"Enimmäkseen elotonta hiilipohjaista elämää, joka haluaa näyttää graafisilla näyttelyillä etenemisestä. Menee hyvin kalakohtaisesti.",Surtout une vie inanimée à base de carbone qui aime se montrer avec des affichages graphiques de propagation. Va bien avec la matière au poisson.,ज्यादातर निर्जीव कार्बन-आधारित जीवन जो प्रसार के ग्राफिक डिस्प्ले के साथ दिखाना पसंद करता है। मछली के मामले के साथ अच्छी तरह से चला जाता है।,Principalmente la vita inanimata a base di carbonio a cui piace mostrarsi con esposizioni grafiche di propagazione. Si abbina bene con la materia di pesce.,伝播のグラフィックディスプレイで披露するのが好きな主に無生物ベースの生命。魚の物質がうまくいきます。,전파의 그래픽 디스플레이와 함께 선연하는 것을 좋아하는 대부분의 탄소 기반 생활. 물고기 물질과 잘 어울립니다.,"Głównie nieożywione życie oparte na węglu, które lubi popisywać się graficznymi pokazami propagacji. Dobrze idzie z materią rybną.",Principalmente a vida inanimada à base de carbono que gosta de aparecer com exibições gráficas de propagação. Vai bem com a matéria de peixes.,"В основном неодушевленная жизнь на основе углерода, которая любит демонстрировать с графическими дисплеями распространения. Хорошо идет с рыбной материей.","Переважно неживе життя на основі вуглецю, яке любить демонструвати графічні дисплеї розповсюдження. Добре поєднується з рибною речовиною."
TOOLTIP_RESOURCE_SPARE_PART,The big pile of junk used to make useful junk.,The big pile of junk used to make useful junk. eh?,كومة كبيرة من غير المرغوب فيها تستخدم لجعل الخردة مفيدة.,大堆垃圾用来制作有用的垃圾。,Velká hromada haraburny se používala k vytvoření užitečného haraburdí.,Der große Haufen Müll machte nützliche Müll.,La gran pila de basura solía hacer basura útil.,Suuri kasa roskaa käytti hyödyllisen roskan tekemiseen.,Le gros tas de déchets utilisé pour fabriquer des ordures utiles.,कबाड़ का बड़ा ढेर उपयोगी कबाड़ बनाने के लिए उपयोग किया जाता है।,Il grande mucchio di spazzatura era usata per fare utili spazzatura.,ジャンクの大きな山は、かつて便利なジャンクを作るために使用されていました。,큰 쓰레기 더미는 유용한 쓰레기를 만드는 데 사용되었습니다.,Duży stos śmieci używany do przydatnego śmieci.,A grande pilha de lixo usada para fazer lixo útil.,Большая куча мусора использовалась для изготовления полезного мусора.,"Велика купа сміття, яка використовується для виготовлення корисної мотлоху."
TOOLTIP_RESOURCE_WASTE,"Everyone poos, except the bots. Makes for good backup fertilizer.","Everyone poos, except the bots. Makes for good backup fertilizer. eh?",الجميع بوس ، باستثناء الروبوتات. يجعل للأسمدة الاحتياطية جيدة.,除了机器人外，每个人都很便宜。使良好的备用肥料。,"Každý poos, kromě robotů. Vytváří dobré záložní hnojivo.","Jeder poos, außer den Bots. Sorgt für einen guten Backup -Dünger.","Todos poos, excepto los bots. Es un buen fertilizante de respaldo.","Kaikki poot, paitsi robotit. Tekee hyvän varmuuskopiolannoitteen.","Tout le monde cache, sauf les bots. Fait un bon engrais de sauvegarde.","हर कोई बॉट को छोड़कर, पोज। अच्छे बैकअप उर्वरक के लिए बनाता है।","Tutti i coglioni, tranne i robot. Rende un buon fertilizzante di backup.",ボットを除いて、誰もがうんざりしています。良いバックアップ肥料になります。,봇을 제외한 모두 똥. 좋은 백업 비료를 만듭니다.,"Wszyscy kupki, z wyjątkiem botów. Tworzy dobry nawóz zapasowy.","Todo mundo leva, exceto os bots. Faz um bom fertilizante de backup.","Все poos, кроме ботов. Делает для хорошего резервного удобрения.","Усі пуди, крім ботів. Створює хороші резервні добрива."
TOOLTIP_RESOURCE_WATER,H2O? Never touch the stuff. Fish deficate in it.,H2O? Never touch the stuff. Fish deficate in it. eh?,H2O؟ لا تلمس الأشياء أبدًا. الأسماك التي تتفادى فيها.,H2O？永远不要碰东西。鱼在其中缺陷。,H2O? Nikdy se nedotkněte věcí. Ryby v tom definifikují.,H2O? Berühren Sie niemals das Zeug. Fisch fehlt darin.,H2O? Nunca toque las cosas. Los peces definen en él.,H2O? Älä koskaan kosketa tavaroita. Kala määrittelee siinä.,H2O? Ne touchez jamais les choses. Le poisson déficit dedans.,H2O? सामान को कभी न छुए। मछली उसमें परिभाषित करती है।,H2O? Non toccare mai la roba. Il pesce deficirà in esso.,H2O？ものに触れないでください。魚はその中に偏っています。,H2O? 물건을 만지지 마십시오. 물고기는 그 안에 정의됩니다.,H2O? Nigdy nie dotykaj rzeczy. Ryby definiują w nim.,H2O? Nunca toque nas coisas. Os peixes defamam nele.,H2O? Никогда не трогай материал. Рыба определена в этом.,H2O? Ніколи не торкайтеся речей. Риба дефіцит у ньому.
TOOLTIP_RESOURCE_WORK,Maintaining the ship and keeping things clean requires effort.,Maintaining the ship and keeping things clean requires effort. eh?,يتطلب الحفاظ على السفينة والحفاظ على الأشياء نظيفة الجهد.,维护船并保持清洁需要精力。,Udržování lodi a udržování čistých věcí vyžaduje úsilí.,Das Aufrechterhaltung des Schiffes und die saubere Haltung erfordert Anstrengung.,Mantener el barco y mantener las cosas limpias requiere esfuerzo.,Aluksen ylläpitäminen ja asioiden pitäminen puhtaiksi vaatii vaivaa.,Maintenir le navire et garder les choses propres nécessite des efforts.,जहाज को बनाए रखना और चीजों को साफ रखने के लिए प्रयास की आवश्यकता है।,Mantenere la nave e mantenere le cose pulite richiede uno sforzo.,船を維持し、物事を清潔に保つには努力が必要です。,배를 유지하고 물건을 깨끗하게 유지하려면 노력이 필요합니다.,Utrzymanie statku i utrzymanie czystości wymaga wysiłku.,Manter o navio e manter as coisas limpas requer esforço.,"Поддержание корабля и поддержание чистоты, требует усилий.",Підтримка корабля та для зберігання речей вимагає зусиль.
TRADE,Trade,Trade eh?,تجارة,贸易,Obchod,Handel,Comercio,Käydä kauppaa,Commerce,व्यापार,Commercio,貿易,거래,Handel,Troca,Торговля,Торгувати
TRADERCREDITTEXT,All credts are forfeit upon leaving the station,All credts are forfeit upon leaving the station eh?,يتم مصادرة جميع الفراء عند مغادرة المحطة,离开车站时，所有信用都被没收,Všechny důvěryhodné propadnou při opuštění stanice,Alle Credts verfallen beim Verlassen der Station,Todos los credts se pierden al salir de la estación,Kaikki luottot menetetään poistuessaan asemalta,Tous les crédits sont confisqués en quittant la station,स्टेशन छोड़ने पर सभी क्रेडें,Tutti i crediti sono rinunciati a lasciare la stazione,すべてのクレードは、駅を出ると没収されます,역을 떠날 때 모든 크레딧이 몰수됩니다,Wszystkie wiarygodności upadają po opuszczeniu stacji,Todos os credões estão perdidos ao deixar a estação,Все затраты утратят после выхода из станции,Всі кредити втрачаються після виходу з станції
TRADERCREDITTITLE,Trader Credit Avaliable,Trader Credit Avaliable eh?,Trader Credit Avaliable,交易者信贷可用,Trader Credit Avaaliable,Händlerkredit,Crédito del comerciante Avaliable,"Kauppiasluotto, joka on saatavissa",Crédit Trader Avaliable,व्यापारी क्रेडिट,Trader Credit Avalible,トレーダークレジットアバリブル,상인 크레딧,Kredyt handlowy,Crédito do Trader Avaliável,Торговый кредитный кредит,Кредит торговця Avaliable
TRAVELING,Traveling,Traveling eh?,سفر,旅行,Cestování,Reisen,De viaje,Matkustaminen,En voyageant,यात्रा का,In viaggio,旅行,여행,Podróżny,Viajando,Путешествие,Мандрівка
